,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B
222,8,1,235,725,20186.432,3914.48,8672.584,235.0,725.0,115.0,-8822300284176286121,3741.02832,8398.5704
223,8,1,55,726,18911.535999999996,3673.3599999999997,8277.027999999998,55.0,726.0,131.0,-8822300284008519065,3507.8194399999998,8019.892799999999
225,8,1,352,706,18369.064000000002,6789.799999999999,6360.176,352.0,706.0,123.0,-8822300284185606513,6662.596479999999,5884.89
226,8,1,145,702,20670.607999999993,4000.7999999999997,8895.215999999999,145.0,702.0,252.0,-8822300284037645290,3822.8956799999996,8615.159999999998
227,8,1,232,706,18237.407999999996,6728.36,6248.520000000001,232.0,706.0,115.0,-8822300284176286121,6603.3895999999995,5777.534800000001
228,8,1,27,700,18414.871999999996,3551.0399999999995,7980.955999999998,27.0,700.0,71.0,-8822300284236868669,3391.4208799999997,7732.383199999998
229,8,1,498,700,17716.272,6609.560000000001,6094.432000000002,498.0,700.0,237.0,-8822300284057451123,6487.671360000001,5631.762800000001
230,8,1,619,682,20693.232,4054.76,9015.712,619.0,682.0,185.0,-8822300283959587007,3874.44576,8731.878799999999
231,8,1,382,701,21459.200000000004,4221.96,9374.480000000001,382.0,701.0,137.0,-8822300284015509359,4034.4704,9078.9428
232,8,1,54,703,15806.392,3011.4,6533.372,54.0,703.0,131.0,-8822300284008519065,2880.73256,6322.5740000000005
234,8,1,530,706,21725.816,4275.759999999999,9513.2,530.0,706.0,231.0,-8822300284050460829,4085.495999999999,9213.8968
239,8,1,972,597,1128.288,1096.9999999999998,16869.576,972.0,597.0,202.0,-8822300284091237544,759.6084799999998,16792.786
240,8,1,912,597,8927.183999999997,2602.0399999999995,7064.927999999998,912.0,597.0,106.0,-8822300284203082248,2460.74144,6882.785199999998
241,8,1,383,597,10101.112,2974.560000000001,8179.72,383.0,597.0,7.0,-8822300284162305533,2810.965600000001,7971.5008
242,8,1,557,579,1406.4959999999996,1313.3600000000001,21288.556,557.0,579.0,265.0,-8822300284462888175,887.5888800000001,21196.6208
243,8,1,442,576,5477.079999999999,6073.5599999999995,11481.8,442.0,576.0,262.0,-8822300284459393028,5843.923999999999,11056.6508
244,8,1,972,576,1133.7199999999996,1149.6000000000001,17927.724,972.0,576.0,202.0,-8822300284091237544,791.0455200000001,17847.251999999997
246,8,1,263,576,9802.968,2927.7999999999997,7693.180000000001,263.0,576.0,249.0,-8822300284034150143,2773.9363999999996,7488.234000000001
247,8,1,58,572,9434.32,2728.64,7404.044000000001,58.0,572.0,162.0,-8822300283970072448,2580.55912,7213.039200000001
248,8,1,910,574,9270.519999999997,2738.1199999999994,7314.079999999998,910.0,574.0,106.0,-8822300284203082248,2591.8383999999996,7122.4115999999985
249,8,1,412,574,5187.223999999999,5703.759999999999,10665.460000000001,412.0,574.0,1.0,-8822300284155315239,5490.4508,10266.196800000002
250,8,1,115,572,5356.232,5777.839999999998,10709.864,115.0,572.0,192.0,-8822300284079587054,5563.642719999998,10305.4152
252,8,1,646,553,5306.784,5972.680000000001,11143.432,646.0,553.0,250.0,-8822300284035315192,5749.8113600000015,10725.3444
253,8,1,412,552,10398.024000000001,3067.3199999999993,8304.771999999999,412.0,552.0,1.0,-8822300284155315239,2901.224559999999,8090.059599999999
254,8,1,58,600,9623.712,2784.6800000000007,7596.8240000000005,58.0,600.0,34.0,-8822300284119198720,2632.743520000001,7401.8964000000005
255,8,1,618,550,5154.351999999999,5766.799999999999,10711.972000000002,618.0,550.0,113.0,-8822300284173956023,5552.560559999999,10308.296000000002
257,8,1,59,550,1358.8400000000001,1302.8,21079.66,59.0,550.0,162.0,-8822300283970072448,881.2067999999999,20988.464
258,8,1,878,600,4838.288,5237.0,9693.672000000002,878.0,600.0,9.0,-8822300284164635631,5043.12656,9327.082000000002
259,8,1,29,627,1227.9119999999996,1193.4000000000003,18527.076,29.0,627.0,54.0,-8822300284105218132,822.8584800000003,18443.538
260,8,1,439,600,10125.08,2936.4400000000005,8032.227999999999,439.0,600.0,262.0,-8822300284459393028,2775.7954400000003,7826.677199999999
261,8,1,471,627,5585.776,6159.88,11629.02,471.0,627.0,85.0,-8822300284215897787,5927.2996,11197.8284
262,8,1,58,653,1233.7359999999996,1202.72,18964.724,58.0,653.0,116.0,-8822300284177451170,823.42552,18880.5336
263,8,1,441,653,11043.48,3214.3999999999996,8864.547999999997,441.0,653.0,104.0,-8822300284200752150,3037.10904,8639.539999999997
266,8,1,381,652,10467.688,3048.7999999999997,8389.431999999999,381.0,652.0,148.0,-8822300283991043330,2881.0113599999995,8176.015999999999
267,8,1,323,650,5363.904,5909.52,11008.248000000003,323.0,650.0,45.0,-8822300284132014259,5689.35504,10594.581600000003
269,8,1,618,631,10268.439999999999,2985.04,8273.559999999998,618.0,631.0,153.0,-8822300283996868575,2819.5688,8064.607199999998
270,8,1,560,629,5372.248,5936.8,11124.460000000001,560.0,629.0,68.0,-8822300284233373522,5714.3108,10708.884
271,8,1,501,630,5267.696,5879.800000000002,11029.055999999997,501.0,630.0,263.0,-8822300284460558077,5659.218880000002,10617.469999999998
272,8,1,383,628,5114.032,5646.400000000001,10602.968,383.0,628.0,148.0,-8822300283991043330,5434.34064,10207.720000000001
273,8,1,233,601,5441.968,5954.4800000000005,10931.068000000003,233.0,601.0,235.0,-8822300284055121025,5735.85864,10514.254400000003
